epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6284,2.54844,7.23141,1.62597,0.00123,1,0.54122,0.16981,1.1721,17.3396,0.70218,0.00026,0.00026,0.00026
2,156.525,1.66928,9.22009,1.0842,0.00117,0.95,0.42806,0.11738,1.04863,16.897,0.69531,0.000529308,0.000529308,0.000529308
3,234.497,1.99122,4.95862,1.45102,0.00123,1,0.56997,0.17136,0.94747,16.6598,0.67725,0.000787528,0.000787528,0.000787528
4,327.497,1.91535,4.41876,1.60519,0.00123,1,0.66589,0.20066,1.06914,16.6768,0.73786,0.00103466,0.00103466,0.00103466
5,409.538,1.95127,4.71734,1.60148,0.00123,1,0.343,0.06505,1.01695,16.6191,0.77287,0.0012707,0.0012707,0.0012707
6,456.56,1.68984,4.5326,1.43182,0.00123,1,0.07002,0.01445,0.93814,16.5225,0.80396,0.00149566,0.00149566,0.00149566
7,501.703,1.99904,8.22812,1.74504,1,0.50501,0.975,0.39741,0.98368,15.8682,1.04607,0.00170953,0.00170953,0.00170953
8,547.06,2.09696,4.92882,1.84571,0.00123,1,0.61018,0.26275,1.04646,15.1372,1.06877,0.0017228,0.0017228,0.0017228
9,592.538,1.68775,6.25386,1.45258,0.60572,0.5,0.55108,0.16498,1.00733,14.0793,0.97904,0.0016832,0.0016832,0.0016832
10,637.533,1.85414,4.44421,1.65197,0.68991,0.7,0.72576,0.22327,1.04606,13.0626,1.08687,0.0016436,0.0016436,0.0016436
11,683.946,1.63039,6.29352,1.46421,0.73496,0.69357,0.81241,0.37491,0.96228,12.147,1.04476,0.001604,0.001604,0.001604
12,727.238,1.94078,5.83193,1.65105,0.73984,0.7,0.81378,0.4252,0.91766,11.1571,1.00914,0.0015644,0.0015644,0.0015644
13,773.989,1.99807,4.03046,1.65898,0.94206,0.85,0.95638,0.40476,0.93917,10.4605,1.02241,0.0015248,0.0015248,0.0015248
14,820.442,1.70986,3.47769,1.66088,0.94206,0.85,0.95638,0.40476,0.93917,10.4605,1.02241,0.0014852,0.0014852,0.0014852
15,867.725,1.82721,3.20148,1.85487,0.85975,1,0.96432,0.45447,0.82086,9.70245,0.95995,0.0014456,0.0014456,0.0014456
16,914.187,1.69811,3.2126,1.57628,0.90616,1,0.95214,0.38806,0.94598,9.55971,1.08843,0.001406,0.001406,0.001406
17,962.753,1.63446,3.57152,1.59204,0.97953,1,0.995,0.39908,0.93241,9.28372,1.04267,0.0013664,0.0013664,0.0013664
18,1010.75,1.60821,4.44571,1.59809,0.90889,0.99769,0.98045,0.4484,0.90543,9.15328,0.98298,0.0013268,0.0013268,0.0013268
19,1057.44,1.78163,2.88048,1.92736,0.9438,1,0.9831,0.49545,0.87678,9.3002,0.96995,0.0012872,0.0012872,0.0012872
20,1106.84,1.72935,2.15209,1.58961,0.94883,1,0.99262,0.31071,1.1049,9.6208,1.17076,0.0012476,0.0012476,0.0012476
21,1153.34,1.8501,4.09042,1.61119,0.93381,0.95,0.94667,0.27994,1.19603,9.1836,1.23,0.001208,0.001208,0.001208
22,1201.17,1.46473,5.60872,1.45068,0.93381,0.95,0.94667,0.27994,1.19603,9.1836,1.23,0.0011684,0.0011684,0.0011684
23,1245.87,1.9183,2.53146,1.83944,0.9925,1,0.995,0.47622,0.95003,8.52556,1.01814,0.0011288,0.0011288,0.0011288
24,1290.11,1.88234,4.13197,1.69547,0.84796,0.9,0.94489,0.49332,0.90524,8.61411,1.00942,0.0010892,0.0010892,0.0010892
25,1337.95,1.8469,2.63839,1.71296,0.952,0.99194,0.98548,0.48662,0.88555,8.71854,1.00288,0.0010496,0.0010496,0.0010496
26,1386.67,1.7828,2.34211,1.54813,0.98826,1,0.995,0.47158,0.88591,8.52687,0.99041,0.00101,0.00101,0.00101
27,1433.1,1.78803,2.91861,1.67834,0.98896,1,0.995,0.51437,0.82889,8.23499,0.94262,0.0009704,0.0009704,0.0009704
28,1498.69,1.89604,3.08529,1.86503,0.99302,1,0.995,0.49964,0.87117,8.0991,0.95318,0.0009308,0.0009308,0.0009308
29,1548.55,1.68628,2.64933,1.59296,0.99066,1,0.995,0.47119,0.92606,8.09805,1.00003,0.0008912,0.0008912,0.0008912
30,1597.49,1.7246,2.9525,1.74347,0.99066,1,0.995,0.47119,0.92606,8.09805,1.00003,0.0008516,0.0008516,0.0008516
31,1646.88,1.75555,2.17866,1.66578,0.93958,1,0.9831,0.48559,0.89326,8.0103,0.99528,0.000812,0.000812,0.000812
32,1689.43,1.56528,2.32805,1.7391,0.95382,1,0.995,0.48827,0.86476,7.92806,0.95689,0.0007724,0.0007724,0.0007724
33,1731.59,1.16858,3.66262,1.18677,0.87479,0.95,0.97667,0.50989,0.80125,7.98691,0.90795,0.0007328,0.0007328,0.0007328
34,1773.58,1.62368,2.0649,1.7329,0.77809,1,0.94601,0.53221,0.7821,7.85479,0.89333,0.0006932,0.0006932,0.0006932
35,1816.54,1.51333,2.50228,1.43867,0.92425,0.9,0.94437,0.53527,0.77421,7.78987,0.88972,0.0006536,0.0006536,0.0006536
36,1861.85,1.74938,2.31937,1.68222,0.98527,0.95,0.96423,0.57529,0.75212,7.67017,0.87769,0.000614,0.000614,0.000614
37,1902.66,1.57966,3.33441,1.54686,0.95019,0.95391,0.99024,0.57438,0.75274,7.47316,0.87158,0.0005744,0.0005744,0.0005744
38,1942.27,1.27093,3.74036,1.24804,0.95019,0.95391,0.99024,0.57438,0.75274,7.47316,0.87158,0.0005348,0.0005348,0.0005348
39,1986.3,1.66003,2.22935,1.44826,0.93637,1,0.99024,0.58733,0.77726,7.21506,0.87777,0.0004952,0.0004952,0.0004952
40,2028.46,1.50237,3.3925,1.42095,0.99277,1,0.995,0.57299,0.79152,7.0568,0.88221,0.0004556,0.0004556,0.0004556
41,2070.31,1.14536,4.51872,1.34274,0.9434,0.95,0.95878,0.56164,0.82363,6.96486,0.89877,0.000416,0.000416,0.000416
42,2117.17,1.13435,3.98523,1.36356,0.99333,1,0.995,0.57403,0.82251,6.85714,0.89854,0.0003764,0.0003764,0.0003764
43,2165.57,1.32911,3.84113,1.41334,0.99472,1,0.995,0.58842,0.80434,6.80808,0.89115,0.0003368,0.0003368,0.0003368
44,2213.68,1.55425,3.38282,1.62107,0.9955,1,0.995,0.59202,0.79343,6.76439,0.88757,0.0002972,0.0002972,0.0002972
45,2261.37,1.24357,4.61433,1.17514,0.99523,1,0.995,0.61048,0.77939,6.71074,0.88286,0.0002576,0.0002576,0.0002576
46,2308.13,1.12848,3.77922,1.37654,0.99523,1,0.995,0.61048,0.77939,6.71074,0.88286,0.000218,0.000218,0.000218
47,2358.96,1.05885,4.2205,1.26725,0.99658,1,0.995,0.61722,0.77536,6.6776,0.87861,0.0001784,0.0001784,0.0001784
48,2409.1,1.21721,4.45013,1.37025,0.99683,1,0.995,0.6166,0.7632,6.63686,0.86788,0.0001388,0.0001388,0.0001388
49,2457.79,0.96795,3.92157,1.24536,0.99701,1,0.995,0.60904,0.75735,6.59937,0.86389,9.92e-05,9.92e-05,9.92e-05
50,2504.41,1.08871,4.49282,1.24454,0.99691,1,0.995,0.60844,0.7539,6.58571,0.86221,5.96e-05,5.96e-05,5.96e-05
